section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
cc438(2),interfering with saving of wreck,,,,sc
cc439,interfering with marine signal,,10y,,sc
cc440,removing natural bar without permission,,2y,,sc
cc441,occupant injuring building,,5y,,sc
cc442,interfering with boundary lines,,,,sc
cc443,interfering with international boundary marks,,5y,,sc
cc445,injuring or endangering other animals,,5y,,10000$&729d
cc445.01(2)(a),killing or injuring certain animals — law enforcement animal killed,6m,5y,,
cc445.01(2)(b),killing or injuring certain animals,,5y,,10000$&729d
cc445.1,causing unnecessary suffering — animals,,5y,,10000$&729d
cc445.2,owning or breeding cetaceans,,,,200000$
cc446,causing damage or injury — animals,,2y,,sc
cc447,arena for animal fighting,,5y,,10000$&729d
cc449,making — counterfeit money,,14y,,
cc450,possession — counterfeit money,,14y,,
cc451,having clippings produced by altering currency,,5y,,sc
cc452,uttering counterfeit money,,14y,,
cc453,uttering coin,,2y,,sc
cc454,possess or manufacture slugs and tokens,,,,sc
cc455,clipping and uttering clipped coin,,14y,,
cc456,defacing current coins,,,,sc
cc457,likeness of bank notes,,,,sc
cc458,making having or dealing in instruments for counterfeiting,,14y,,
cc459,conveying instruments for coining out of mint,,14y,,
cc460,advertising and dealing in counterfeit money,,5y,,sc
cc462.31(1),laundering proceeds of crime,,10y,,sc
cc462.31(2.1),laundering proceeds of crime — criminal organization,,14y,,
cc463(a),attempts accessories — punishable by life,,14y,,
cc463(b),attempts accessories — punishable by 14y or less,,7y,,
cc463(c),attempts accessories — sc conviction,,,,sc
cc463(d),attempts accessories — hybrid,,7y,,sc
cc464,counselling offence that is not committed — indictable,,14y,,sc
cc465(1)(a),conspiracy — murder,,255y,,
cc465(1)(b)(i),conspiracy — indictable punishable by 14y or less,,10y,,sc
cc145(1)(b)(ii),conspiracy — indictable punihsable by less than 14y,,5y,,sc
cc465(1)(c),conspiracy — indictable — other,,255y,,
cc465(1)(d),conspiracy — sc,,,,sc
cc467.11,participation in activities of criminal organization,,5y,,sc
cc467.111(a),recruitment of members by a criminal organization — victim under 18,6m,5y,,
cc467.111(b),recruitment of members by a criminal organization,,5y,,
cc467.12,commission of offence for criminal organization,,14y,,
cc467.13,instructing commission of offence for criminal organization,,255y,,
cc486.6,failure to comply with publication ban — victims and witnesses,,,,sc
cc487.0197,failure to comply with preservation demand,,,,5000$
cc487.0198,failure to comply with preservation or production order,,,,250000$&729d
cc487.0199,failure to comply with destruction order,,,,sc
cc487.0552,failure to comply with order or summons,,2y,,sc
cc487.08(3),improper use of bodily substances seized — warrant,,,,sc
cc487.08(4),improper use of bodily substances seized — order authorization,,2y,,sc
cc490.031,failure to comply with soira or nda order,,10000$&729d,,10000$&729d
cc490.0311,providing false information re soira,,10000$&729d,,10000$&729d
cc490.0312,failure to advise police re soira,,,,sc
cc490.8,failure to comply with restraint order,,5y,,sc
cc517,failure to comply with publication ban — bail,,,,sc
cc539,failure to comply with publication ban — preliminary inquiry evidence,,,,sc
cc542,failure to comply with publication ban — preliminary inquiry documents,,,,sc
cc648,failure to comply with publication ban — jury evidence,,,,sc
cc649,disclosure of jury proceedings,,,,sc
cc672.37,improper application for federal employment,,,,sc
672.501,failure to comply with order restricting publication — sexual offences,,,,sc
cc708,contempt,,,,100$&90d
cc732.11,improper use or disclosure of bodily substances seized — probatin order,,,,sc
cc733.1,failure to comply with probation order,,4y,,sc
cc742.31,improper use or disclosure of bodily substances seized — conditional sentence,,,,sc
cc743.21,failure to comply with non-communication order — conditional sentence order,,2y,,sc
cc753.3,failure to comply with long-term supervision order,,10y,,sc
cc810.4,improper use or disclosure of bodily substances seized — recognizance,,,,sc
cc811,breach of recognizance,,4y,,sc
